Time;CPU
2022-12-08 14:09:08;18,299
2022-12-08 14:15:54;16,367
2022-12-08 14:17:33;14,665
2022-12-08 14:18:01;21,953
2022-12-08 14:20:01;20,771
2022-12-08 14:22:01;24,088
2022-12-08 14:24:01;9,410
2022-12-08 14:26:01;28,648
2022-12-08 14:28:01;14,205
2022-12-08 14:30:01;27,080
2022-12-08 14:32:01;22,212
2022-12-08 14:34:01;10,402
2022-12-08 14:36:01;20,381
2022-12-08 14:38:01;9,956
2022-12-08 14:40:01;22,022
2022-12-08 14:42:01;21,631
2022-12-08 14:44:01;9,087
2022-12-08 14:46:01;26,375
2022-12-08 14:48:01;14,675
2022-12-08 14:50:01;17,145
2022-12-08 14:52:01;17,910
2022-12-08 14:54:01;10,974
2022-12-08 14:56:01;26,178
2022-12-08 14:58:01;16,128
